江丙坤 陈美惠
曹宪 曹操
曹宪 曹嵩
曹宪 曹节
曹宪 安阳公主
王靖雄 张艾嘉
潘石屹 张欣
潘石屹 冯仑
应宁 王谦祥
汉光武 刘縯
李顺圭 李秀满
刘弥群 刘太行
筱田升 岩井俊二
汉章帝 汉明帝
王大治 戴露
李圣根 李贤义
李圣根 晏紫
关悦 佟大为
甘地 Gandhi
骆家辉 李蒙
卢恬儿 霍启刚
卢恬儿 卢润森
甘萍 黎兵
黄绍竑 陈铭枢
黄绍竑 龙云
黄绍竑 李宗仁
黄绍竑 蒋介石
杨扬 王春露
杨扬 张震
程昱 曹丕
程昱 李典
程昱 程武
程昱 曹操
程昱 郭嘉
程昱 邢贞
姜铁麟 李万春
赵丽蓉 赵连喜
赵丽蓉 新凤霞
图坦卡蒙 阿肯那顿
图坦卡蒙 安克姗海娜曼
张达明 何念慈
赵佩茹 常宝堃
赵佩茹 常贵田
赵佩茹 马志存
赵佩茹 焦寿海
赵佩茹 高英培
赵佩茹 赵希贤
吴征镒 吴筠孙
吴征镒 吴征铠
吴征镒 段金玉
吴征镒 吴征鉴
吴征镒 吴京
田忠 田昌黎
靓元亨 陈非侬
靓元亨 关德兴
靓元亨 周瑜利
靓元亨 廖侠怀
靓元亨 蛇王苏
孙奋 孙登
孙奋 孙权
贾玲 白凯南
贾玲 冯巩
薛福成 曾国藩
马大猷 江泽涵
马大猷 吴大猷
马大猷 叶企孙
马大猷 萨本栋
马大猷 任之恭
陈云贤 萧灼基
海德里希 希特勒
海德里希 布鲁诺
海德里希 希姆莱
海德里希 伊丽沙白
海德里希 海因茨
浦通修 浦安修
浦通修 浦洁修
唐昭宗 唐僖宗
马志明 马覃
郑振铎 许地山
郑振铎 瞿秋白
郑振铎 高君箴
郑振铎 郑尔康
王丽云 车晓
李新兰 李砚秀
李新兰 李万春
许海峰 陶璐娜
许海峰 王义夫
李谷一 肖一
王万梅 程玉英
陈毅 王光亚
陈毅 陈小鲁
陈毅 陈丹淮
陈毅 胡兰畦
陈毅 肖菊英
陈毅 赖月明
陈毅 粟裕
陈毅 陈昊苏
陈毅 张茜
陈毅 罗炳辉
熊天荆 伍云甫
熊天荆 伍绍祖
尤浩然 李静
方志敏 方梅
方志敏 方明
方志敏 方英
方志敏 方志纯
王明明 李苦禅
王明明 蒋兆和
王明明 吴作人
王明明 周思聪
李作鹏 董其采
田慧棣 田萱
李保田 李彧
李保田 陈燕琳
车侑蓝 车宝蓝
戴蕴慧 戴思聪
王小利 小沈阳
王小利 赵本山
王小利 李琳
文嘉 文徵明
郑东汉 蔡就胜
内藤大湖 内藤荣子
赛金花 洪钧
赛金花 曹承玺
周伯通 瑛姑
周伯通 王重阳
骆玉笙 骆彩武
骆玉笙 王冠丽
刘亚男 郎平
刘亚男 王海川
周兆明 范玉梅
曹华 曹宪
曹华 曹操
曹华 曹节
朱丽倩 朱金城
古巨基 陈英雪
倪桂珍 宋子文
倪桂珍 倪蕴山
倪桂珍 宋美龄
倪桂珍 宋庆龄
德川家光 德川秀忠
李政道 张明璋
海瑞 朱衡
海瑞 海翰
海瑞 谢氏
田雨 王玥
田雨 汤唯
唐韵 马景涛
欧阳奋强 欧阳雯鑫
欧阳奋强 康丽
庹宗康 李婉钰
庹宗康 况明洁
庹宗康 王菲雅
陈翰笙 顾淑型
傅作仁 董振凡
C罗 劳尔
C罗 本泽马
巴乔 玛蒂尔德
郑克塽 郑成功
王恩茂 骆岚
寇永昌 王澜华
袁秋年 袁慧中
张谋之 张乐怡
唐鉴军 赵本山
唐鉴军 王小华
车晓 王丽云
车晓 李兆会
于素秋 麦炳荣
于素秋 成龙
于素秋 于占元
李继迁 李光俨
满宠 曹操
满宠 荀彧
满宠 孔融
津渊美智子 蒋纬国
周天娜 周信芳
伯里克利 山提波斯
浦洁修 浦通修
太穆皇后 李渊
罗明珠 王培宏
罗明珠 袁洁莹
罗明珠 李丽珍
罗明珠 林珊珊
麦迪 姚明
张伟欣 李小璐
丁晓兵 陶婉珠
翟志刚 张淑静
翟志刚 翟志强
李亚男 王祖蓝
阮经天 许玮宁
汪长诗 汪德官
唐义贞 陆定一
大黑摩季 A君
齐良末 齐白石
艾薇儿 Lavigne
赵合德 汉成帝
赵合德 赵飞燕
孔令侃 孔祥熙
孔令侃 宋子文
孔令侃 宋蔼龄
孔令侃 宋美龄
柳湘莲 尤三姐
张恩照 张纪纲
关礼杰 关枫馨
关礼杰 关枫盈
张素我 张治中
范松年 周德敷
崔兰田 毛兰花
崔兰田 周海水
崔兰田 贾锁
巩俐 赵英
巩俐 黄和祥
巩俐 巩力泽
宋云娜 大多亮
甄妮 傅声
甄妮 甄家平
杨秀清 冯云山
杨秀清 萧朝贵
连震东 连战
连震东 连横
长孙皇后 李治
长孙皇后 长孙安业
长孙皇后 长孙晟
长孙皇后 晋阳公主
长孙皇后 李泰
长孙皇后 城阳公主
长孙皇后 李渊
章士钊 章锦
章士钊 章可
章士钊 殷德珍
章士钊 奚翠贞
蒋碧薇 徐伯阳
蒋碧薇 徐悲鸿
蒋碧薇 张道藩
蔡慧敏 黄玉郎
光良 江美琪
代善 褚英
代善 阿济格
代善 莽古尔泰
代善 阿巴泰
代善 努尔哈赤
代善 皇太极
代善 多尔衮
李富春 蔡和森
李富春 蔡畅
杨爱瑾 郭永淳
常宝丰 常宝霆
童芷苓 童寿苓
童芷苓 童葆苓
童芷苓 童祥苓
区文诗 铃木仁
元顺帝 奇完者忽都
王海川 刘亚男
王承 王昶
张国荣 唐鹤德
张国荣 麦嘉轩
杜丽 齐登云
杜丽 王义夫
赵孟頫 管道升
固伦和孝公主 丰绅殷德
刘世定 刘文辉
孙甫亭 孙振泉
孙甫亭 孙振才
孙甫亭 王晶华
孙甫亭 王晓临
孙甫亭 王梦云
孙甫亭 罗福山
孙甫亭 孙怡云
道光 寿臧和硕公主
道光 端顺固伦公主
道光 孝全成皇后钮祜禄氏
道光 庄顺皇贵妃乌雅氏
陈小鲁 陈毅
陈小鲁 粟惠宁
陈小鲁 楚青
谢朝恩 王锡鹏
谢朝恩 郑国鸿
程前 王越
程前 程之
相小泉 相元坤
相小泉 刘金玉
里根 Neil
里根 Reagan
章伯钧 章诒和
章伯钧 李健生
章伯钧 李哲民
章伯钧 章诒学
章伯钧 章伯韬
柳德米拉 普京
杨子烈 张湘楚
杨子烈 张海威
史兰芽 巍子
李月清 李兆熊
普京 柳德米拉
战殊 苏西莲
战殊 战福章
马晨菲 马文广
马晨菲 杜锋
马晨菲 姚颖
陈楠 隋菲菲
李默然 龙潮
黄秋爽 张永刚
惠英红 黄子扬
王近山 陈赓
邓颖超 孙维世
邓颖超 周恩来
廖桂永 沈蔓蓉
曹爽 夏侯玄
曹爽 曹真
曹爽 曹训
陈满林 陈镜开
程君谋 程之
余三胜 余紫云
刘松林 刘谦初
李爱琴 李三
术赤 成吉思汗
术赤 斡儿答
沙孟海 沙文威
沙孟海 沙耆
沙孟海 沙更世
田益宾 张兰
田益宾 汪小菲
鸠山一郎 鸠山和夫
林璎 林长民
方文山 周杰伦
方文山 吴宗宪
吴凤花 吴素英
吴国桢 黄卓群
彭长健 文强
彭长健 刘观英
桑普拉斯 费德勒
张小凡 田灵儿
张小凡 田不易
张小凡 林惊羽
张小凡 宋大仁
张小凡 陆雪琪
张小凡 曾书书
戴安娜王妃 威廉王子
袁尚 袁绍
杨子 杨祖武
杨子 高宁
殷秀梅 潘兆英
罗志祥 欧弟
甄珍 刘家昌
袁枚 乾隆
钟丽淇 拿度
钟丽淇 梁荣忠
丘成桐 陈省身
李莎 李立三
波塞冬 瑞亚
王婉霏 刘畊宏
赵建铭 赵玉柱
赵建铭 陈幸妤
赵建铭 吴淑珍
赵建铭 简水绵
姬云飞 关凌
何汉斌 何汉青
黄少谷 黄任中
洪欣 莫少聪
洪欣 张丹峰
方镇泉 方阿常
李小龙 叶问
李小龙 丁佩
李小龙 李振辉
李小龙 李海泉
李小龙 何爱榆
丰臣秀次 丰臣秀吉
丰臣秀次 真田幸村
许崇智 许崇清
周萌萌 周瑞新
王明贞 王季同
鲍春来 钟波
鲍春来 汤仙虎
金旼贞 李孝贞
金旼贞 河贞恩
于俊波 戴少甫
于俊波 张寿臣
于俊波 周德山
于俊波 郭启儒
于俊波 郭全宝
于俊波 焦德海
于俊波 白宝事
薛涛 薛郧
任远 梁玉洁
陈镜开 陈竞奎
陈镜开 陈枝
陈镜开 陈满林
张伯驹 潘素
邓楠 邓小平
宋容慧 俞斌
杨露禅 杨班侯
杨露禅 陈长兴
林长民 梁启超
林长民 梁思成
林长民 林徽音
傅起凤 傅天正
夏侯楙 夏侯子江
夏侯楙 夏侯子臧
夏侯楙 清河公主
吴尊 赵晨浩
李隼 郭焱
李隼 张怡宁
叶准 叶问
叶准 叶正
陈绍基 蒋文端
鲍令晖 鲍照
于月仙 赵本山
吴昕 张远
朴正熙 陆英修
庞伟 庞彦宏
庞伟 张广伟
庞伟 王义夫
项英 张亮
项英 项苏云
叶露茜 杜宣
郑嘉颖 刘家昌
郑嘉颖 徐靖雯
郑嘉颖 佘诗曼
张培刚 谭慧
苏茹 田灵儿
苏茹 田不易
苏茹 万剑一
李彩华 林峰
金平日 金正日
金平日 金顺锦
金平日 金敬珍
金平日 金仁江
薛蝌 邢岫烟
李光耀 柯玉芝
李光耀 李玮玲
王老赏 周瑶
王老赏 周兆明
冠佑 五月天
杨贵妃 唐玄宗
本庄繁 本庄常右卫门
李娜 李盛鹏
李娜 晏紫
黄永玉 张梅溪
张娜拉 朱虎声
林肯 罗伯特
罗家宝 罗家会
罗家宝 陈锦棠
罗家宝 罗家英
周利 刘世翔
周利 尚慧敏
周利 沈世华
周利 宋丹菊
周利 阎桂祥
魏文亮 武魁海
魏文亮 李相友
魏文亮 张文斌
魏文亮 朱德刚
魏文亮 魏巍
魏文亮 魏文华
李怡 唐宪宗
王光亚 陈毅
王光亚 陈珊珊
于魁智 何金海
张伯苓 张彭春
张伯苓 张锡祜
小沈阳 沈春阳
小沈阳 洋洋
汉景帝 汉文帝
汉景帝 汉武帝
贾母 贾宝玉
贾母 邢夫人
贾母 贾代善
贾母 贾赦
贾母 林黛玉
贾母 贾政
贾母 王夫人
刘春慧 张文霞
秦基伟 唐贤美
孙中山 孔祥熙
孙中山 宋嘉树
孙中山 大月薰
孙中山 孙科
孙中山 宋庆龄
孙中山 孙眉
孙中山 蒋介石
孙中山 卢慕贞
纳丹 乌尔米拉
黄炎培 黄大能
黄炎培 黄方毅
黄炎培 黄培英
黄炎培 黄竞武
黄炎培 王纠思
黄炎培 黄万里
李荣威 孙盛文
桓玄 桓温
王金璐 金少山
刘金定 高琼
王海容 王德恒
王海容 王季范
王海容 唐闻生
刘金宝 王雪冰
刘金宝 张德宝
刘金宝 丁燕生
陈寅恪 陈宝箴
陈寅恪 陈师曾
陈寅恪 陈三立
陈寅恪 陈散原
贺龙 徐月姑
贺龙 萧克
贺龙 贺捷生
贺龙 彭德怀
贺龙 朱德
贺龙 贺鹏飞
张岫云 刘海燕
张岫云 王海玲
梁少芯 文千岁
林丹 陈宏
林丹 夏煊泽
林丹 谢杏芳
林丹 李永波
英壮 英达
英壮 英宁
李宗伟 黄妙珠
孙仁玉 李桐轩
吴小莉 周秉均
戴娆 谢东
戴娆 张国立
钟腾福 张洁雯
梁洛施 李泽楷
梁洛施 李长治
张玉宁 孙佳怡
关学曾 关少曾
郭槐 贾午
郭槐 贾充
谈镐生 邓团子
何怡贞 葛庭燧
何怡贞 钱三强
何怡贞 何泽瑛
马连登 马增芬
马连登 马增蕙
蒋丽莎 陈浩民
蒋丽莎 隋菲菲
李彧 陈燕琳
李彧 李保田
史可 黄小茂
王冠丽 刘萍
许银川 文静
高竣熙 魔力少年
广末凉子 广末忠彦
广末凉子 冈泽高宏
谢芮芝 荣剑尘
黑泽明 高峰秀子
程潜 郭翼青
程潜 程熙
魏海敏 梅葆玖
欧阳雯鑫 欧阳奋强
辛晓琪 马景涛
宋耀如 倪桂珍
宋耀如 孔祥熙
宋耀如 温秉忠
宋耀如 孙中山
周佳纳 周天娜
周佳纳 周英华
周佳纳 周采茨
吉恩 朱棣文
冯巩 马季
冯巩 笑林
冯巩 刘伟
冯巩 姜昆
冯巩 艾慧
冯巩 冯国璋
冯巩 赵炎
冯巩 王谦祥
罗雪娟 罗国安
理查一世 安妮
余玠 宋理宗
余玠 王惟忠
余玠 赵葵
余玠 余如孙
刘春红 马文辉
金大中 车容爱
金大中 李姬镐
金大中 金弘业
翁佳慧 岳美缇
吴碧波 田敏
吴碧波 杨春花
佟守本 赵世忠
刘占胜 文玉香
罗荣桓 罗东进
罗荣桓 颜月娥
蹇先任 蹇先超
蹇先任 蹇先为
蹇先任 贺龙
蹇先任 蹇先佛
蹇先任 贺捷生
曹其敏 陈美英
曹其敏 刘英华
曹其敏 马彦祥
解忧公主 岑陬
解忧公主 弟史
解忧公主 刘戊
洪荣宏 洪敬尧
洪荣宏 洪一峰
洪荣宏 洪荣良
梁思礼 梁启超
范斌 姚明
范斌 阿的江
范斌 宫鲁鸣
陈乔年 陈延年
陈乔年 陈鹤年
陈乔年 陈独秀
罗巧福 戴凤玲
罗巧福 梅巧玲
孙柏龄 月明珠
孙新 顾大嫂
彭咏梧 江竹筠
康盘石 康敦煜
康盘石 金正恩
康盘石 金日成
慕容博 慕容复
慕容博 王语嫣
孙燕姿 纳迪姆
孙燕姿 孙燕佳
孙燕姿 李偲菘
耿冰娃 朱桂芳
耿冰娃 耿华
王世臣 张杰尧
王世臣 赵玉贵
王世臣 陈雨亭
王世臣 谭凤元
胡耀邦 李昭
宋高宗 刘贤妃
刘阔漳 金杰丽
毕春芳 戚雅仙
孙丽雅 齐秦
宣统 溥任
邓健泓 陈志云
欧倩怡 郭令山
张洁清 彭真
杨步伟 卞学鐄
杨步伟 赵如兰
卢彦勋 钱琼文
康健海 魏孝忠
郑汛 黄欣彤
刘允斌 何葆贞
刘允斌 刘少奇
金贤珠 苏志燮
胡志军 周穗安
胡志军 徐根宝
刘国正 刘邦云
刘国正 余志国
刘国正 芦璐
李菁菁 张金华
黄子容 郭守正
小泉孝太郎 小泉纯一郎
小泉孝太郎 小泉进次郎
萧芳芳 萧乃震
周璟馨 鲁迅
周璟馨 周令飞
任冰儿 任剑辉
韩凤英 厉慧森
韩凤英 厉彦芝
林立果 林立衡
林立果 林彪
吴素秋 陈盛荪
张玉林 张桂庭
刘若英 陈升
刘若英 刘咏尧
刘若英 五月天
刘若英 苏慧伦
刘若英 张艾嘉
刘若英 钟小江
东山纪之 木村佳乃
车永宏 李洛能
车永宏 郭云深
张皇后 张麒
李充 李矩
王愿坚 王振千
王愿坚 王愈坚
王北星 王长友
韩增祥 李万春
韩增祥 毕谷云
小早川秀秋 木下家定
黄博文 李甜甜
那辛 那英
丹朱 尧帝
范长江 范长城
范长江 沈钧儒
黎洪模 黎枫
黎洪模 许宜扬
黎洪模 黎应图
黎洪模 黎维玲
黎洪模 黎健图
黎洪模 徐静斐
黎洪模 蔡磊萍
黎洪模 黎群
黎洪模 黎昊
黎洪模 黎炜毅
黎洪模 承其刚
黎洪模 徐悲鸿
孙禄堂 程廷华
孙禄堂 郝为真
梁花侬 梁秀娟
陈彦衡 谭鑫培
陈彦衡 梅雨田
陈彦衡 陈富年
尤彩云 陈聚林
尤彩云 丁兰荪
乔冠华 乔松都
乔冠华 洪晃
乔冠华 章含之
乔冠华 龚澎
王盛德 王敏德
王盛德 张天爱
邓肖禹 邓碧珊
陈奕迅 陈裘大
陈奕迅 徐濠萦
李宝櫆 梅兰芳
李宝櫆 许德义
李宝櫆 尚小云
郑怀贤 贺顺定
于台烟 梁弘志
张威廉 雷传洛
文熙俊 文慧丽
赵叔孺 沙孟海
赵叔孺 赵佑宸
赵叔孺 林寿图
宋子文 倪桂珍
宋子文 张乐怡
宋子文 宋美龄
宋子文 蒋介石
周总理 万冬儿
赵桐珊 王桂山
包拯 包繶
曹颖 王梓涵
曹颖 王斑
阵内智则 藤原纪香
岳红 岳以恩
侯耀文 谢东
侯耀文 刘彦
侯耀文 侯宝林
侯耀文 石富宽
侯耀文 陈一嘉
周循 周瑜
范文澜 戴冠芳
谷开来 谷景生
谷开来 范承秀
谷开来 薄熙来
谷开来 谷望宁
谷开来 薄瓜瓜
张宇皎 眭禄
严化 红薇
薄望知 李丹宇
薄望知 薄熙来
岸川圣也 水谷隼
叶翠翠 黄有龙
郭晓玲 林淑如
郭晓玲 曹斯杰
郭晓玲 郭台铭
郭晓玲 郭台成
郭晓玲 初永真
梅兰芳 梅葆玖
梅兰芳 梅雨田
梅兰芳 尚小云
梅兰芳 梅葆玥
梅兰芳 梅巧玲
梅兰芳 程砚秋
梅兰芳 吴菱仙
梅兰芳 王瑶卿
梅兰芳 杜近芳
梅兰芳 福芝芳
毛新宇 邵华
毛新宇 毛岸青
毛新宇 刘滨
陈修良 陈馥
罗兆辉 刘銮雄
黄旭 尹学香
黄旭 范雯
黄旭 黄玉斌
李伟建 李雪歌
李伟建 武宾
花淑兰 潘洪伟
花淑兰 郑桂芳
花淑兰 赵俊芝
花淑兰 曾昭娟
孔令辉 马苏
孔令辉 刘国梁
肯尼迪 杰奎琳
赵括 赵奢
王玥 田雨
王朔 冯小刚
王朔 周迅
王朔 徐静蕾
宇野宗佑 竹下登
黄宗洛 黄宗英
黄宗洛 黄宗江
刘据 汉武帝
刘据 卫子夫
灰娃 张仃
俞飞鸿 刘德华
马世莉 马景涛
刘家昌 甄珍
唐伯虎 沈九娘
钟小江 刘若英
苏妙玲 段林希
王玉 宋德全
谷祖琳 谷德昭
陈燕 肖智
田蕴章 田荫亭
洪煦榆 洪天明
洪煦榆 洪天祥
洪煦榆 洪天照
洪煦榆 曹恩玉
鄢颇 高圆圆
鄢颇 梅婷
鄢颇 李小冉
丁果仙 张鸣琴
冯跋 冯爱居
冯跋 宋夫人
纪里谷和明 宇多田光
盘庚 阳甲
彭壮壮 彭云
彭壮壮 仲琦
彭壮壮 易小准
彭壮壮 江竹筠
彭壮壮 易小冶
李小璐 贾乃亮
杨钰莹 毛宁
杨钰莹 赖文峰
李立三 李莎
李海泉 小生奕
李海泉 李秋源
李海泉 李振辉
李海泉 李满甜
李海泉 何金棠
李海泉 李震彪
李海泉 李小龙
嫦娥 后羿
原田淑人 加藤繁
原田淑人 池内宏
原田淑人 白鸟库吉
原田淑人 黄现璠
叶忠定 叶福海
杨化然 刘国君
杨化然 管新成
杨化然 杨奇军
杨化然 杨少华
杨化然 陈鹏
邹兆龙 洪金宝
郭羡妮 张舒雅
郭羡妮 马浚伟
郭羡妮 朱少杰
郭羡妮 温兆伦
郭羡妮 陶大宇
萨达姆 Rana
杨玄琰 杨玉环
朱林瑶 林国文
金正哲 张成泽
金正哲 金正日
金正哲 高英姬
李存义 陈泮岭
李存义 程庭华
刘桂娟 李世济
帕瓦罗蒂 阿杜瓦
郑多彬 李姜熙
前原诚司 前原爱里
小泉纯一郎 小泉信子
小泉纯一郎 小泉隆子
小泉纯一郎 小泉孝太郎
小泉纯一郎 宫本佳代子
小泉纯一郎 小泉由兵卫
小泉纯一郎 小泉正也
刘坤龙 蔡康永
刘永行 刘永美
刘永行 刘永言
牛玉儒 谢莉
马幼禄 沈学正
施光南 施复亮
施光南 钟复光
王茂俊 王弢
陈连仲 范伟
张孝若 张謇
周晓平 周有光
刘洋 张华
柯玉芝 李光耀
曹达华 安德尊
谭富英 谭孝曾
谭富英 谭韵寿
谭富英 谭鑫培
谭富英 谭小培
谭富英 谭元寿
牛剑锋 刘志强
蒋勤勤 陈建斌
蒋勤勤 李大为
鲍蕾 陆毅
鲍蕾 鲍莉
吴法宪 陈绥圻
邱胜翊 棒棒堂
田鹏飞 田忠阳
田鹏飞 伍文忠
欧阳龙 傅娟
李晓霞 郭跃
李晓霞 李隼
赖斯翔 Ella
李莞 金泰熙
萧连芳 李玉娟
海绵宝宝 派大星
刘遵义 麦嘉轩
刘遵义 于右任
陈品亨 陈秉升
朱少杰 郭羡妮
沈周 沈恒吉
郑钧 刘芸
胡友松 李宗仁
杨雪霏 陈长玲
习仲勋 习远平
习仲勋 习永生
李连捷 李庆逵
李连捷 侯光炯
陈蝶衣 陈燮阳
沉樱 梁宗岱
沉樱 梁思薇
沉樱 马彦祥
工藤静香 木村心美
工藤静香 森高千里
工藤静香 酒井法子
张作霖 张学良
张作霖 张学森
张作霖 于凤至
郭炳湘 邝肖卿
曾海生 曾山
李兆楠 李兆基
符光耿 王大同
符光耿 欧阳英
符光耿 许起华
符光耿 刘蔓
陆定一 严慰冰
陆定一 陆德
陆定一 陆澄宙
陆定一 唐义贞
丁聪 丁悚
罗格 萨马兰奇
廖承志 何香凝
廖承志 廖凤舒
廖承志 陈香梅
廖承志 经普椿
廖承志 廖仲恺
韦迪 南勇
徐少强 徐伟栋
伊达政宗 伊达辉宗
伊达政宗 田村清显
乔宗淮 乔冠华
陈升 刘若英
高力士 高延福
高力士 冯盎
官晶华 郑咏恩
官晶华 郑少秋
官晶华 郑安仪
官晶华 郑咏曦
穆宇 张学津
范瑾 俞敏声
范瑾 许寿昌
贯盛习 贯盛吉
吴玠 吴扆
吴玠 吴拱
张浚 张咸
于世德 李维信
董文华 张楠
杉内雅男 杉内寿子
麦当娜 Rocco
冯锡范 冯澄世
王楠 李菊
王楠 郭之腾
王楠 张怡宁
严嵩 严世蕃
井柏然 BOBO组合
蒋才如 杨思远
蒋才如 刘艾琳
蒋才如 刘光宇
蒋才如 吴企善
蒋才如 刘德海
蒋才如 蒋倩竹
蒋才如 李鹤飞
蒋才如 汤寿高
卫若兰 史湘云
郭少衡 翀岳
郭少衡 童玉苓
张克澄 陆士嘉
孙眉 陈粹芬
孙眉 孙中山
钟少珍 林跃
钟少珍 火亮
钟少珍 杨景辉
钟少珍 胡佳
钟少珍 李巧贤
李蔷华 关正明
李蔷华 俞振飞
曹彭龄 卢章谊
陈泮岭 李存义
孙宝琦 袁世凯
武术家 董英俊
薄熙来 薄一波
李兆会 李海仓
李兆会 车晓
斡儿答 拔都
张海 黄鹭
敖幼祥 李思阳
敖幼祥 陈诺宣
赵伟洲 李嘉存
赵伟洲 谢天顺
赵伟洲 杨少华
赵伟洲 张志宽
吕志武 陈祚
吕志武 吕粟粟
吕志武 徐国义
王海祥 成龙
谷德昭 谷薇丽
吴全德 吴甘霖
郭台铭 曹斯杰
郭台铭 曾馨莹
郭台铭 郭晓玲
郭台铭 郭龄瑞
郭台铭 林淑如
郭台铭 黄子容
郭台铭 郭台成
郭台铭 郭台强
郭台铭 郭守善
郭台铭 郭守正
雷洁琼 雷子昌
雷洁琼 严景耀
汪峰 章子怡
汪峰 葛荟婕
王祥 朱氏
许彩金 陈四
赵振铎 王长友
张闻天 刘英
夫差 伍子胥
夫差 伯嚭
李书福 李星星
李书福 李艺
吴碧霞 金铁霖
吴碧霞 邹文琴
马英九 马莉君
马英九 秦厚修
马英九 马冰如
马英九 马乃西
马英九 马唯中
马英九 马元中
马英九 马立安
马英九 周美青
马英九 马鹤凌
路永佳 蔡依珊
颛顼 昌意
颛顼 穷蝉
陈清渊 陈清水
陈清渊 邓学军
陈清渊 蔡学彦
袁滨忠 筱文滨
袁滨忠 韩玉敏
许鹿希 邓稼先
许鹿希 许德珩
陈三立 陈寅恪
白静 周成海
丁宁 郭焱
艾青 张竹茹
艾青 艾端午
艾青 艾清明
艾青 艾梅梅
艾青 高瑛
艾青 艾未未
艾青 艾轩
曹髦 曹丕
曹髦 曹霖
周勃 周亚夫
杨洁薇 谭咏麟
李砚秀 李砚萍
李砚秀 李淑媛
李砚秀 李万春
李砚秀 李新兰
李雪 李冰冰
陈友仁 张荔英
陈友仁 张静江
张国焘 杨子烈
王小骞 谭江海
叶金援 叶盛长
吴大观 王大地主
吴大观 华允娥
慕容垂 慕容恪
慕容垂 慕容宝
慕容垂 慕容俊
慕容垂 慕容德
慕容垂 慕容皝
刘协 董太后
刘协 伏寿
艾未未 艾青
艾未未 路青
叶志铭 叶崇仁
叶志铭 叶玉卿
梁静茹 赵元同
朝美穗香 志村健
方苞 刘大櫆
卫长公主 栾大
卫长公主 诸邑公主
卫长公主 刘据
卫长公主 石邑公主
陈微明 杨澄甫
陈微明 孙禄堂
黄光业 赵雅芝
陈撄宁 张竹铭
陈撄宁 昊彝珠
陈撄宁 胡海牙
伍廷芳 伍荣彰
王盘声 程文俊
刘永奎 刘贯一
赖俊健 赖真真
赖俊健 赖明明
赖俊健 曾明娜
谷文月 喜彩莲
张无忌 张翠山
张无忌 谢逊
张无忌 殷素素
张无忌 俞莲舟
张无忌 赵敏
沈钧儒 范长江
长孙晟 长孙皇后
夏培肃 杨立铭
曾志伟 王美华
曾志伟 曾国犹
曾志伟 洪金宝
曾志伟 曾宝仪
赵亮 胡敬
黄品源 巫若萍
谢贤 谢振轩
谢贤 张柏芝
谢贤 谢婷婷
谢贤 狄波拉
徐建寅 徐寿
李颖芝 房祖名
何顺信 张君秋
董俊峰 董少英
罗嘉良 方敏仪
郭得胜 郭炳湘
顾传玠 张元和
顾传玠 顾传琳
赵元任 杨步伟
赵元任 赵如兰
李永波 李根
李永波 龚智超
李永波 谢颖
聂耳 彭寂宽
聂耳 聂鸿仪
刘建宏 黄健翔
吴健雄 父
华少 秦利鸽
吕大临 吕大防
吕大临 张载
吕大临 吕大忠
吕大临 吕大钧
扈三娘 祝彪
熊明霞 孙毓敏
熊明霞 熊昌驹
熊明霞 覃钦祥
颜永京 颜惠庆
戚美珍 苗彤
戚美珍 苗侨伟
甄姬 曹丕
甄姬 袁熙
韩慎先 王琴生
谢晓虹 薛伟森
赵云 赵统
赵云 公孙瓒
赵云 张飞
赵云 刘备
林徽因 金岳霖
林徽因 林孝恂
林徽因 梁再冰
林徽因 梁思成
苏少舫 苏兰舫
安舒元 贵俊卿
犀利哥 程国圣
邹永山 陈连登
任重 王阳
任重 张铎
王文娟 徐玉兰
郝艳芳 郝英吉
茹富兰 叶盛兰
宋奕萱 宋锋
宋奕萱 刘秀荣
李天恩 谢天华
梁思宁 梁启超
梁思宁 章柯
梁思宁 王桂荃
梁思宁 梁思懿
叶天士 叶时
叶天士 叶万青
叶天士 叶朝采
潘公凯 潘天寿
李经文 杜近芳
李经文 刘中石
吕洋 王吟秋
吕洋 李世济
辽太祖 耶律倍
吴舜文 严凯泰
查尔斯王子 戴安娜
查尔斯王子 威廉王子
李国庆 俞渝
依田纪基 安藤武夫
卧云居士 龚云甫
梁元帝 萧纪
梁元帝 萧衍
鲁肃 周瑜
萧雅 金静
李嘉欣 许世勋
李嘉欣 许晋亨
李嘉欣 刘銮雄
李嘉欣 李嘉明
赵晨浩 章子怡
赵晨浩 许智伟
赵晨浩 林建岳
赵晨浩 赵本山
赵晨浩 范冰冰
赵晨浩 张靓颖
赵晨浩 郭德纲
赵晨浩 周杰伦
赵晨浩 张学友
赵晨浩 陈慧琳
赵晨浩 余文乐
赵晨浩 蔡依林
赵晨浩 曾志伟
宋小宝 赵本山
石小梅 张弘
石小梅 王正来
吴京 李连杰
吴京 吴彬
陈昌浩 陈祖莫
朱九真 朱长龄
关栋天 关正明
甄英莲 薛蟠
甄英莲 甄士隐
张道藩 蒋碧微
裘芸 张顺
裘芸 裘盛戎
裘芸 于国霖
裘芸 于克淼
王辉 王建中
卢永祥 段祺瑞
始平公主 晋惠帝
黄一一 黄秋生
陆子艺 蒋依依
陆子艺 林妙可
刘志坚 刘莱瑛
张乐怡 宋子文
张乐怡 张谋之
潘晓婷 张凯
潘晓婷 林正晃
陆杏林 陈德霖
肃顺 曾国藩
曹徽 曹操
曹徽 曹昂
曹徽 宋姬
盛静生 盛军海
张小巧 毛头
邢衍安 顾玉标
谭政 陈赓
